Period,XIndex,YIndex,ZIndex
0,22,11,1
0,22,12,1
0,22,13,1
0,22,14,1
0,22,15,1
0,22,16,1
0,22,17,1
0,22,18,1
0,22,19,1
0,22,20,1
0,22,21,1
0,23,11,1
0,23,12,1
0,23,13,1
0,23,14,1
0,23,15,1
0,23,16,1
0,23,17,1
0,23,18,1
0,23,19,1
0,23,20,1
0,23,21,1
0,23,22,1
0,23,23,1
0,24,11,1
0,24,12,1
0,24,13,1
0,24,14,1
0,24,15,1
0,24,16,1
0,24,17,1
0,24,18,1
0,24,19,1
0,24,20,1
0,24,21,1
0,24,22,1
0,24,23,1
0,25,11,1
0,25,12,1
0,25,13,1
0,25,14,1
0,25,15,1
0,25,16,1
0,25,17,1
0,25,18,1
0,25,19,1
0,25,20,1
0,25,21,1
0,25,22,1
0,25,23,1
0,25,24,1
0,26,11,1
0,26,12,1
0,26,13,1
0,26,14,1
0,26,15,1
0,26,16,1
0,26,17,1
0,26,18,1
0,26,19,1
0,26,20,1
0,26,21,1
0,26,22,1
0,26,23,1
0,26,24,1
0,27,11,1
0,27,12,1
0,27,13,1
0,27,14,1
0,27,15,1
0,27,16,1
0,27,17,1
0,27,18,1
0,27,19,1
0,27,20,1
0,27,21,1
0,27,22,1
0,27,23,1
0,27,24,1
0,28,11,1
0,28,12,1
0,28,13,1
0,28,14,1
0,28,15,1
0,28,16,1
0,28,17,1
0,28,18,1
0,28,19,1
0,28,20,1
0,28,21,1
0,28,22,1
0,28,23,1
0,28,24,1
0,29,11,1
0,29,12,1
0,29,13,1
0,29,14,1
0,29,15,1
0,29,16,1
0,29,17,1
0,29,18,1
0,29,19,1
0,29,20,1
0,29,21,1
0,29,22,1
0,29,23,1
0,29,24,1
0,30,11,1
0,30,12,1
0,30,13,1
0,30,14,1
0,30,15,1
0,30,16,1
0,30,17,1
0,30,18,1
0,30,19,1
0,30,20,1
0,30,21,1
0,30,22,1
0,30,23,1
0,30,24,1
0,31,11,1
0,31,12,1
0,31,13,1
0,31,14,1
0,31,15,1
0,31,16,1
0,31,17,1
0,31,18,1
0,31,19,1
0,31,20,1
0,31,21,1
0,31,22,1
0,31,23,1
0,31,24,1
0,32,11,1
0,32,12,1
0,32,13,1
0,32,14,1
0,32,15,1
0,32,16,1
0,32,17,1
0,32,18,1
0,32,19,1
0,32,20,1
0,32,21,1
0,32,22,1
0,32,23,1
0,32,24,1
0,33,11,1
0,33,12,1
0,33,13,1
0,33,14,1
0,33,15,1
0,33,16,1
0,33,17,1
0,33,18,1
0,33,19,1
0,33,20,1
0,33,21,1
0,33,22,1
0,33,23,1
0,33,24,1
0,23,12,2
0,23,13,2
0,23,14,2
0,23,15,2
0,23,16,2
0,23,17,2
0,23,18,2
0,23,19,2
0,23,20,2
0,24,12,2
0,24,13,2
0,24,14,2
0,24,15,2
0,24,16,2
0,24,17,2
0,24,18,2
0,24,19,2
0,24,20,2
0,24,21,2
0,24,22,2
0,25,12,2
0,25,13,2
0,25,14,2
0,25,15,2
0,25,16,2
0,25,17,2
0,25,18,2
0,25,19,2
0,25,20,2
0,25,21,2
0,25,22,2
0,26,12,2
0,26,13,2
0,26,14,2
0,26,15,2
0,26,16,2
0,26,17,2
0,26,18,2
0,26,19,2
0,26,20,2
0,26,21,2
0,26,22,2
0,26,23,2
0,27,12,2
0,27,13,2
0,27,14,2
0,27,15,2
0,27,16,2
0,27,17,2
0,27,18,2
0,27,19,2
0,27,20,2
0,27,21,2
0,27,22,2
0,27,23,2
0,28,12,2
0,28,13,2
0,28,14,2
0,28,15,2
0,28,16,2
0,28,17,2
0,28,18,2
0,28,19,2
0,28,20,2
0,28,21,2
0,28,22,2
0,28,23,2
0,29,12,2
0,29,13,2
0,29,14,2
0,29,15,2
0,29,16,2
0,29,17,2
0,29,18,2
0,29,19,2
0,29,20,2
0,29,21,2
0,29,22,2
0,29,23,2
0,30,12,2
0,30,13,2
0,30,14,2
0,30,15,2
0,30,16,2
0,30,17,2
0,30,18,2
0,30,19,2
0,30,20,2
0,30,21,2
0,30,22,2
0,30,23,2
0,31,12,2
0,31,13,2
0,31,14,2
0,31,15,2
0,31,16,2
0,31,17,2
0,31,18,2
0,31,19,2
0,31,20,2
0,31,21,2
0,31,22,2
0,31,23,2
0,32,12,2
0,32,13,2
0,32,14,2
0,32,15,2
0,32,16,2
0,32,17,2
0,32,18,2
0,32,19,2
0,32,20,2
0,32,21,2
0,32,22,2
0,32,23,2
0,24,13,3
0,24,14,3
0,24,15,3
0,24,16,3
0,24,17,3
0,24,18,3
0,24,19,3
0,25,13,3
0,25,14,3
0,25,15,3
0,25,16,3
0,25,17,3
0,25,18,3
0,25,19,3
0,25,20,3
0,25,21,3
0,26,13,3
0,26,14,3
0,26,15,3
0,26,16,3
0,26,17,3
0,26,18,3
0,26,19,3
0,26,20,3
0,26,21,3
0,27,13,3
0,27,14,3
0,27,15,3
0,27,16,3
0,27,17,3
0,27,18,3
0,27,19,3
0,27,20,3
0,27,21,3
0,27,22,3
0,28,13,3
0,28,14,3
0,28,15,3
0,28,16,3
0,28,17,3
0,28,18,3
0,28,19,3
0,28,20,3
0,28,21,3
0,28,22,3
0,29,13,3
0,29,14,3
0,29,15,3
0,29,16,3
0,29,17,3
0,29,18,3
0,29,19,3
0,29,20,3
0,29,21,3
0,29,22,3
0,30,13,3
0,30,14,3
0,30,15,3
0,30,16,3
0,30,17,3
0,30,18,3
0,30,19,3
0,30,20,3
0,30,21,3
0,30,22,3
0,31,13,3
0,31,14,3
0,31,15,3
0,31,16,3
0,31,17,3
0,31,18,3
0,31,19,3
0,31,20,3
0,31,21,3
0,31,22,3
0,25,14,4
0,25,15,4
0,25,16,4
0,25,17,4
0,25,18,4
0,26,14,4
0,26,15,4
0,26,16,4
0,26,17,4
0,26,18,4
0,26,19,4
0,26,20,4
0,27,14,4
0,27,15,4
0,27,16,4
0,27,17,4
0,27,18,4
0,27,19,4
0,27,20,4
0,28,14,4
0,28,15,4
0,28,16,4
0,28,17,4
0,28,18,4
0,28,19,4
0,28,20,4
0,28,21,4
0,29,14,4
0,29,15,4
0,29,16,4
0,29,17,4
0,29,18,4
0,29,19,4
0,29,20,4
0,29,21,4
0,30,14,4
0,30,15,4
0,30,16,4
0,30,17,4
0,30,18,4
0,30,19,4
0,30,20,4
0,30,21,4
0,26,15,5
0,26,16,5
0,26,17,5
0,27,15,5
0,27,16,5
0,27,17,5
0,27,18,5
0,27,19,5
0,28,15,5
0,28,16,5
0,28,17,5
0,28,18,5
0,28,19,5
0,29,15,5
0,29,16,5
0,29,17,5
0,29,18,5
0,29,19,5
0,29,20,5
0,27,16,6
0,28,16,6
0,28,17,6
0,28,18,6
1,14,13,1
1,14,14,1
1,14,15,1
1,14,16,1
1,14,17,1
1,14,18,1
1,14,19,1
1,14,20,1
1,14,21,1
1,15,13,1
1,15,14,1
1,15,15,1
1,15,16,1
1,15,17,1
1,15,18,1
1,15,19,1
1,15,20,1
1,15,21,1
1,16,13,1
1,16,14,1
1,16,15,1
1,16,16,1
1,16,17,1
1,16,18,1
1,16,19,1
1,16,20,1
1,16,21,1
1,17,11,1
1,17,12,1
1,17,13,1
1,17,14,1
1,17,15,1
1,17,16,1
1,17,17,1
1,17,18,1
1,17,19,1
1,17,20,1
1,17,21,1
1,18,10,1
1,18,11,1
1,18,12,1
1,18,13,1
1,18,14,1
1,18,15,1
1,18,16,1
1,18,17,1
1,18,18,1
1,18,19,1
1,18,20,1
1,18,21,1
1,18,22,1
1,19,10,1
1,19,11,1
1,19,12,1
1,19,13,1
1,19,14,1
1,19,15,1
1,19,16,1
1,19,17,1
1,19,18,1
1,19,19,1
1,19,20,1
1,19,21,1
1,19,22,1
1,19,23,1
1,19,24,1
1,20,10,1
1,20,11,1
1,20,12,1
1,20,13,1
1,20,14,1
1,20,15,1
1,20,16,1
1,20,17,1
1,20,18,1
1,20,19,1
1,20,20,1
1,20,21,1
1,20,22,1
1,20,23,1
1,20,24,1
1,21,10,1
1,21,11,1
1,21,12,1
1,21,13,1
1,21,14,1
1,21,15,1
1,21,16,1
1,21,17,1
1,21,18,1
1,21,19,1
1,21,20,1
1,21,21,1
1,21,22,1
1,21,23,1
1,21,24,1
1,22,10,1
1,22,22,1
1,22,23,1
1,22,24,1
1,23,10,1
1,23,24,1
1,24,10,1
1,24,24,1
1,25,10,1
1,26,10,1
1,27,10,1
1,28,10,1
1,29,10,1
1,30,10,1
1,31,10,1
1,32,10,1
1,33,10,1
1,15,14,2
1,15,15,2
1,15,16,2
1,15,17,2
